ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,FRA,France,High impact,All publication types,526.2630977941055,2012
All AI research,FRA,France,High impact,All publication types,531.3586542513399,2013
All AI research,FRA,France,High impact,All publication types,513.1926945090519,2014
All AI research,FRA,France,High impact,All publication types,482.93692055585836,2015
All AI research,FRA,France,High impact,All publication types,471.9266457154992,2016
All AI research,FRA,France,High impact,All publication types,476.11602793731987,2017
All AI research,FRA,France,High impact,All publication types,496.02630259719285,2018
All AI research,FRA,France,High impact,All publication types,586.5798168245634,2019
All AI research,FRA,France,High impact,All publication types,629.3688702211653,2020
All AI research,FRA,France,High impact,All publication types,611.6626503102797,2021
All AI research,FRA,France,High impact,All publication types,598.360527112335,2022
All AI research,FRA,France,High impact,All publication types,519.733269978977,2023
All AI research,FRA,France,High impact,All publication types,273.9253351784066,2024
All AI research,FRA,France,High impact,All publication types,25.54530112321178,2025
All AI research,KOR,Korea,High impact,All publication types,58.833333529531956,2000
All AI research,KOR,Korea,High impact,All publication types,68.70000031590462,2001
All AI research,KOR,Korea,High impact,All publication types,170.58333382258812,2002
All AI research,KOR,Korea,High impact,All publication types,118.3833336532116,2003
All AI research,KOR,Korea,High impact,All publication types,149.11666698753834,2004
All AI research,KOR,Korea,High impact,All publication types,171.78241780400276,2005
All AI research,KOR,Korea,High impact,All publication types,161.10000060995418,2006
All AI research,KOR,Korea,High impact,All publication types,143.41666716337204,2007
All AI research,KOR,Korea,High impact,All publication types,179.63333359360695,2008
All AI research,KOR,Korea,High impact,All publication types,214.67606922984123,2009
All AI research,KOR,Korea,High impact,All publication types,196.29444497823715,2010
All AI research,KOR,Korea,High impact,All publication types,189.25000093281267,2011
All AI research,KOR,Korea,High impact,All publication types,191.6547622650862,2012
All AI research,KOR,Korea,High impact,All publication types,189.91309605836867,2013
All AI research,KOR,Korea,High impact,All publication types,226.39761975705622,2014
All AI research,KOR,Korea,High impact,All publication types,207.03737694273389,2015
All AI research,KOR,Korea,High impact,All publication types,272.85198505967855,2016
All AI research,KOR,Korea,High impact,All publication types,357.55396961917484,2017
All AI research,KOR,Korea,High impact,All publication types,501.0852884061635,2018
All AI research,KOR,Korea,High impact,All publication types,756.156922864914,2019
All AI research,KOR,Korea,High impact,All publication types,1027.9822248437802,2020
All AI research,KOR,Korea,High impact,All publication types,1016.8280325362372,2021
All AI research,KOR,Korea,High impact,All publication types,988.4422904672723,2022
All AI research,KOR,Korea,High impact,All publication types,944.8593065168476,2023
All AI research,KOR,Korea,High impact,All publication types,596.175403258098,2024
All AI research,KOR,Korea,High impact,All publication types,93.37021977913356,2025
All AI research,ARE,United Arab Emirates,High impact,All publication types,1.0000000298023224,2000
All AI research,ARE,United Arab Emirates,High impact,All publication types,0.6666666865348816,2001
All AI research,ARE,United Arab Emirates,High impact,All publication types,4.666666746139526,2002
All AI research,ARE,United Arab Emirates,High impact,All publication types,2.666666626930237,2003
All AI research,ARE,United Arab Emirates,High impact,All publication types,3.5,2004
All AI research,ARE,United Arab Emirates,High impact,All publication types,5.999999970197678,2005
All AI research,ARE,United Arab Emirates,High impact,All publication types,9.666666746139526,2006
All AI research,ARE,United Arab Emirates,High impact,All publication types,11.00000002483527,2007
All AI research,ARE,United Arab Emirates,High impact,All publication types,7.666666746139526,2008
All AI research,ARE,United Arab Emirates,High impact,All publication types,7.333333373069763,2009
All AI research,ARE,United Arab Emirates,High impact,All publication types,7.833333373069763,2010
All AI research,ARE,United Arab Emirates,High impact,All publication types,12.71428593993187,2011
All AI research,ARE,United Arab Emirates,High impact,All publication types,20.200000005960465,2012
All AI research,ARE,United Arab Emirates,High impact,All publication types,28.166666954755783,2013
All AI research,ARE,United Arab Emirates,High impact,All publication types,18.083333410322666,2014
All AI research,ARE,United Arab Emirates,High impact,All publication types,34.33333356976509,2015
All AI research,ARE,United Arab Emirates,High impact,All publication types,38.533333510160446,2016
All AI research,ARE,United Arab Emirates,High impact,All publication types,42.304762144883476,2017
All AI research,ARE,United Arab Emirates,High impact,All publication types,34.80909117532499,2018
All AI research,ARE,United Arab Emirates,High impact,All publication types,53.68730212996403,2019
All AI research,ARE,United Arab Emirates,High impact,All publication types,121.16944536509968,2020
All AI research,ARE,United Arab Emirates,High impact,All publication types,122.23928726563851,2021
All AI research,ARE,United Arab Emirates,High impact,All publication types,128.26174759517113,2022
All AI research,ARE,United Arab Emirates,High impact,All publication types,173.48316364205547,2023
All AI research,ARE,United Arab Emirates,High impact,All publication types,94.82957678033561,2024
All AI research,ARE,United Arab Emirates,High impact,All publication types,15.695635110139847,2025
